"country_name","type4","time","emlaw","emname","emstart","emend","emlimit","emlimitdate","emlawapp","emlegapp","leglimit","subvar","discrim","ndrights","melim","melimstart","melimend","merepfact","merepgov","merepoth","meinf","mevhar","mephar","govmis","pomviol","milinv","misclimit","year","country_id","v2x_libdem","v2x_jucon","v2xlg_legcon","v2mecenefm_ord","pandem","pandem_alt","panback","pandem_dis","pandem_dis_alt","type1","type2","type3","type4_alt","type5","type6"
"Afghanistan",1,"2020-06-17",5,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,2019,36,0.212,0.351,0.631,2,0.0588235294117647,0,0,0.05,0,0,0,0,0,0,0
"Albania",3,"2020-06-08",3,"Constitution (Articles 100, 170, 174, point 1, and 175, point 2),  Law No. 45/2019, ""On Civil Protection"" (points 1 in article 18, article 19,  article 39)","2020-03-24",NA,1,"2020-06-23",1,"1",0,1,0,0,0,NA,NA,0,0,1,0,0,0,0,0,1,NA,2019,12,0.431,0.69,0.92,2,0.176470588235294,0.176470588235294,0.173109882352941,0.15,0.15,0,0,0,3,0,0
"Algeria",3,"2020-06-22",4,"Constitution 1989 (reinst. 1996, rev. 2016), articles 99 (4), 143; 
-loi n° 88-07 du 7 Joumada Ethania 1408 correspondant au 26 janvier 1988 relative à l’hygiène, à la sécurité et à la médecine du travail ;
- l’ordonnance n°66-156 du 8 juin 1966, modifiée et complétée, portant code pénal ;","2020-03-21",NA,1,"2020-04-04",0,"0",3,2,0,0,1,"2020-04-22",NA,1,1,0,1,0,0,2,1,0,NA,2019,103,0.119,0.125,0.087,1,0.294117647058824,0.294117647058824,0.12334,0.35,0.35,0,0,0,3,2,0
"Angola",1,"2020-06-15",1,"Constitution Article 58 and Law n. 17/91","2020-03-27","2020-05-25",1,"2020-04-11",1,"1",2,1,0,0,0,NA,NA,0,0,0,0,0,0,0,2,1,NA,2019,104,0.23,0.584,0.319,2,0.117647058823529,0.0588235294117647,0.0416705882352941,0.1,0.05,0,0,0,0,0,1
"Argentina",0,"2020-06-09",4,"Ley 27541 - LEY DE SOLIDARIDAD SOCIAL Y REACTIVACIÓN PRODUCTIVA EN EL MARCO DE LA EMERGENCIA PÚBLICA","2020-03-20",NA,1,"2020-03-31",0,"0",2,2,0,0,0,NA,NA,0,0,0,0,0,0,0,2,1,"The judiciary was on ""extraordinary recess"" from 2020-03-20. In some provinces, they returned to work on 2020-06-02, others are still on recess. It took the Congress almost two months to begin online sessions and in the meantime all decisions were taken by the Executive.",2019,37,0.631,0.758,0.698,3,0.0588235294117647,0.0588235294117647,0.0547856470588235,0.05,0.05,0,0,0,0,0,1
"Armenia",3,"2020-06-16",1,"Constitution (Article 120)","2020-03-16",NA,1,"2020-07-13",1,"1",0,0,0,0,2,"2020-03-16","2020-03-24",1,1,0,0,0,0,0,0,0,"1) new survelliance law 2) postponed constitutional referendum",2019,105,0.641,0.708,0.704,3,0.176470588235294,0.176470588235294,0.162436941176471,0.15,0.15,0,0,0,3,0,0
"Australia",0,"2020-06-08",2,"Biosecurity (Human Biosecurity Emergency) (Human Coronavirus with Pandemic Potential) Declaration 2020","2020-03-18",NA,1,"2020-06-17",0,"0",2,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,NA,2019,67,0.789,0.967,0.955,4,0,0,0,0,0,0,0,0,0,0,0
"Austria",0,"2020-06-10",4,"Covid-19 Law","2020-03-16",NA,1,"2020-04-13",1,"1",0,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,2019,144,0.721,0.913,0.899,3,0,0,0,0,0,0,0,0,0,0,0
"Azerbaijan",3,"2020-06-16",4,"Law on Sanitary and Epidemiological Safety (Article 25)","2020-03-24",NA,1,"2020-07-01",0,"0",2,1,0,0,2,"2020-03-24","2020-07-01",0,1,1,2,0,1,0,1,0,"detention of opposition leaders",2019,106,0.07,0.033,0.044,0,0.176470588235294,0.176470588235294,0.0459529411764706,0.15,0.15,0,0,0,3,0,0
"Bangladesh",3,"2020-06-24",7,NA,NA,"2020-05-31",1,NA,NA,NA,0,NA,0,0,0,NA,NA,0,1,0,0,0,1,0,2,NA,NA,2019,24,0.1,0.201,0.116,3,0.235294117647059,0.235294117647059,0.0847058823529412,0.2,0.2,0,0,0,3,0,1
